None1,Number,None2,Name,Accepted,Submission
1,1001,-1,"Sum Problem",191568,755636
0,1002,-1,"A + B Problem II",109211,573049
1,1003,-1,"Max Sum",91848,382834
0,1004,-1,"Let the Balloon Rise",79358,197422
1,1005,-1,"Number Sequence",66621,259843
0,1006,-1,"Tick and Tick",8528,29595
1,1007,-1,"Quoit Design",22908,85208
0,1008,-1,"Elevator",60491,112407
1,1009,-1,"FatMouse' Trade",45662,131201
0,1010,-1,"Tempter of the Bone",50653,189597
1,1011,-1,"Starship Troopers",7948,33030
0,1012,-1,"u Calculate e",30592,66473
1,1013,-1,"Digital Roots",35766,115648
0,1014,-1,"Uniform Generator",16801,42588
1,1015,-1,"Safecracker",12356,23747
0,1016,-1,"Prime Ring Problem",38143,93132
1,1017,-1,"A Mathematical Curiosity",19761,73113
0,1018,-1,"Big Number",26538,53921
1,1019,-1,"Least Common Multiple",30714,79673
0,1020,-1,"Encoding",33170,74929
1,1021,-1,"Fibonacci Again",43544,98514
0,1022,-1,"Train Problem I",24684,65734
1,1023,-1,"Train Problem II",7726,14403
0,1024,-1,"Max Sum Plus Plus",20620,56265
1,1025,-1,"Constructing Roads In JGShining's Kingdom",10162,35749
0,1026,-1,"Ignatius and the Princess I",9136,28457
1,1027,-1,"Ignatius and the Princess II",10889,19057
0,1028,-1,"Ignatius and the Princess III",23051,33921
1,1029,-1,"Ignatius and the Princess IV",29295,63126
0,1030,-1,"Delta-wave ",5849,13850
1,1031,-1,"Design T-Shirt",8138,16536
0,1032,-1,"The 3n + 1 problem",22266,61140
1,1033,-1,"Edge",4199,7295
0,1034,-1,"Candy Sharing Game",8484,15150
1,1035,-1,"Robot Motion",8752,18606
0,1036,-1,"Average is not Fast Enough!",3770,8666
1,1037,-1,"Keep on Truckin'",15837,24190
0,1038,-1,"Biker's Trip Odometer",5605,8502
1,1039,-1,"Easier Done Than Said?",10573,22624
0,1040,-1,"As Easy As A+B",41759,99659
1,1041,-1,"Computer Transformation",4389,11251
0,1042,-1,"N!",33548,111745
1,1043,-1,"Eight",11404,45570
0,1044,-1,"Collect More Jewels",2506,10277
1,1045,-1,"Fire Net",12811,20796
0,1046,-1,"Gridland",3839,8315
1,1047,-1,"Integer Inquiry",9305,32411
0,1048,-1,"The Hardest Problem Ever",18570,39875
1,1049,-1,"Climbing Worm",19337,28543
0,1050,-1,"Moving Tables",18660,56464
1,1051,-1,"Wooden Sticks",13063,31930
0,1052,-1,"Tian Ji -- The Horse Racing",14888,48765
1,1053,-1,"Entropy",4014,9380
0,1054,-1,"Strategic Game",5990,12519
1,1055,-1,"Color a Tree",1453,3857
0,1056,-1,"HangOver",8870,19466
